Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
47800000.0,183600000.0,The Revenant,Alejandro González Iñárritu,6,287100000.0,5cbf57e7f1b3f84eb09ba534
10800000.0,21400000.0,The Darkest Hour,Chris Gorak,2,21500000.0,5cbf57e7f1b3f84eb09ba535
67000000.0,118600000.0,Blades of Glory,Josh Gordon,3,201100000.0,5cbf57e7f1b3f84eb09ba536
568000.0,1500000.0,A Midnight Clear,Keith Gordon,5,2800000.0,5cbf57e7f1b3f84eb09ba537
86200000.0,134500000.0,Identity Thief,Seth Gordon,5,430900000.0,5cbf57e7f1b3f84eb09ba538
24500000.0,24500000.0,Don Jon,Joseph Gordon-Levitt,1,24500000.0,5cbf57e7f1b3f84eb09ba539
26100000.0,26100000.0,That Awkward Moment,Tom Gormican,1,26100000.0,5cbf57e7f1b3f84eb09ba53a
45400.0,45400.0,Lost River,Ryan Gosling,1,45400.0,5cbf57e7f1b3f84eb09ba53b
82100000.0,153300000.0,Scooby-Doo,Raja Gosnell,10,820800000.0,5cbf57e7f1b3f84eb09ba53c
38600000.0,52400000.0,Blade: Trinity,David S. Goyer,3,115700000.0,5cbf57e7f1b3f84eb09ba53d
12600000.0,30900000.0,Joyful Noise,Todd Graff,3,37800000.0,5cbf57e7f1b3f84eb09ba53e
4200000.0,6500000.0,Winter's Bone,Debra Granik,3,12600000.0,5cbf57e7f1b3f84eb09ba53f
15500000.0,15500000.0,Catch and Release,Susannah Grant,1,15500000.0,5cbf57e7f1b3f84eb09ba540
84200000.0,226000000.0,Fate of the Furious,F. Gary Gray,9,758000000.0,5cbf57e7f1b3f84eb09ba541
7400000.0,28600000.0,We Own the Night,James Gray,6,44300000.0,5cbf57e7f1b3f84eb09ba542
8000000.0,20400000.0,Glimmer Man,John Gray,3,24100000.0,5cbf57e7f1b3f84eb09ba543
60500000.0,82100000.0,Teenage Mutant Ninja Turtles 2,Dave Green,2,121000000.0,5cbf57e7f1b3f84eb09ba544
24000000.0,159300000.0,Halloween (2018),David Gordon Green,13,312000000.0,5cbf57e7f1b3f84eb09ba545
48400000.0,82400000.0,Let's Be Cops,Luke Greenfield,4,193800000.0,5cbf57e7f1b3f84eb09ba546
92600000.0,227500000.0,The Bourne Ultimatum,Paul Greengrass,8,740600000.0,5cbf57e7f1b3f84eb09ba547
2900000.0,2900000.0,Choke,Clark Gregg,1,2900000.0,5cbf57e7f1b3f84eb09ba548
23200000.0,23200000.0,Sanctum,Alister Grierson,1,23200000.0,5cbf57e7f1b3f84eb09ba549
6900000.0,18100000.0,Call Me by Your Name,Luca Guadagnino,4,27600000.0,5cbf57e7f1b3f84eb09ba54a
9100000.0,18700000.0,Best in Show,Christopher Guest,5,45700000.0,5cbf57e7f1b3f84eb09ba54b
7200000.0,24100000.0,An Inconvenient Truth,Davis Guggenheim,6,42900000.0,5cbf57e7f1b3f84eb09ba54c
182800000.0,389800000.0,Guardians of the Galaxy 2,James Gunn,4,731100000.0,5cbf57e7f1b3f84eb09ba54d
50200000.0,50200000.0,The Book of Life,Jorge R. Gutierrez,1,50200000.0,5cbf57e7f1b3f84eb09ba54e
30500000.0,129800000.00000001,An Officer and a Gentleman,Taylor Hackford,14,426800000.0,5cbf57e7f1b3f84eb09ba54f
